Month,Index (1982-84=1),Nominal,Motor Gasoline Price($/gallon),Base CPI (5/2023)
July 2002,1.800,1.40,2.36,
August 2002,1.805,1.40,2.35,
September 2002,1.808,1.40,2.35,
October 2002,1.812,1.45,2.42,
November 2002,1.815,1.42,2.37,
December 2002,1.818,1.39,2.31,
January 2003,1.826,1.46,2.42,
February 2003,1.836,1.61,2.67,
March 2003,1.839,1.69,2.79,
April 2003,1.832,1.59,2.63,
May 2003,1.829,1.50,2.48,
June 2003,1.831,1.49,2.47,
July 2003,1.837,1.51,2.50,
August 2003,1.845,1.62,2.67,
September 2003,1.851,1.68,2.75,
October 2003,1.849,1.56,2.57,
November 2003,1.850,1.51,2.48,
December 2003,1.855,1.48,2.42,
January 2004,1.863,1.57,2.56,
February 2004,1.867,1.65,2.68,
March 2004,1.871,1.74,2.82,
April 2004,1.874,1.80,2.91,
May 2004,1.882,1.98,3.20,
June 2004,1.889,1.97,3.16,
July 2004,1.891,1.91,3.07,
August 2004,1.892,1.88,3.01,
September 2004,1.898,1.87,2.99,
October 2004,1.908,2.00,3.18,
November 2004,1.917,1.98,3.13,
December 2004,1.917,1.84,2.91,
January 2005,1.916,1.83,2.90,
February 2005,1.924,1.91,3.01,
March 2005,1.931,2.08,3.27,
April 2005,1.937,2.24,3.51,
May 2005,1.936,2.16,3.39,
June 2005,1.937,2.16,3.38,
July 2005,1.949,2.29,3.57,
August 2005,1.961,2.49,3.85,
September 2005,1.988,2.90,4.43,
October 2005,1.991,2.72,4.14,
November 2005,1.981,2.26,3.46,
December 2005,1.981,2.19,3.35,
January 2006,1.993,2.32,3.53,
February 2006,1.994,2.28,3.47,
March 2006,1.997,2.42,3.69,
April 2006,2.007,2.74,4.15,
May 2006,2.013,2.91,4.38,
June 2006,2.018,2.88,4.34,
July 2006,2.029,2.98,4.46,
August 2006,2.038,2.95,4.40,
September 2006,2.028,2.56,3.82,
October 2006,2.019,2.24,3.37,
November 2006,2.020,2.23,3.35,
December 2006,2.031,2.31,3.46,
January 2007,2.034,2.24,3.34,
February 2007,2.042,2.28,3.38,
March 2007,2.053,2.56,3.79,
April 2007,2.059,2.85,4.19,
May 2007,2.068,3.15,4.62,
June 2007,2.072,3.06,4.48,
July 2007,2.076,2.96,4.33,
August 2007,2.077,2.79,4.07,
September 2007,2.085,2.80,4.08,
